e, e_dot, e_int, stamp, 
-0.0051809296494322865, -0.001791251839430667, -0.0009212056278273416, 1731624627710572394, 
-0.005460000518795027, -0.0024815871988037586, -0.0009861119326010608, 1731624627811085682, 
-0.005286094035210631, -0.0003505479525944821, -0.0011120928595134184, 1731624627920045208, 
-0.004905943997454365, 0.001846855071135541, -0.00107915552988179, 1731624628017925614, 
-0.004800735786433918, 0.001617860829255709, -0.0009483193963086145, 1731624628109800501, 
-0.004971547556884115, -0.0002186785314324998, -0.0009402841365584259, 1731624628210104979, 
-0.005595785201907955, -0.002650164718246787, -0.0010743910209051139, 1731624628319532326, 
-0.006248335944339711, -0.004255961291518655, -0.0011657969376909735, 1731624628418089025, 
-0.006409467941732139, -0.002712275799413947, -0.001158058564494227, 1731624628509860687, 
-0.006075475944648634, 0.0005761999989702579, -0.0011962883418660344, 1731624628609665997, 
-0.005891994900334652, 0.0017249101379916236, -0.0012852137380502495, 1731624628719669364, 
-0.0060573421921215065, 6.044584175709152e-05, -0.0012671860719341058, 1731624628820572940, 
-0.006263938123275636, -0.0012398107431366157, -0.001153947724115837, 1731624628909741887, 
-0.0065335522141642954, -0.00158736674014263, -0.0011881255441444805, 1731624629009616074, 
-0.0067914216175211095, -0.0017582783141515772, -0.0013696364624262772, 1731624629119498784, 
-0.006328527357768454, 0.0006834161879861375, -0.0013823973806908751, 1731624629220631511, 
-0.005209972655449313, 0.005271496540239322, -0.0011619698848879673, 1731624629309674701, 
-0.0045438964929012116, 0.0059487695495574755, -0.0010136931473556004, 1731624629409725185, 
-0.004389344261948036, 0.00273542797833759, -0.0009892480850091027, 1731624629519509918, 
-0.0036491708129573475, 0.0029824189331462136, -0.000880132701735514, 1731624629619573519, 
-0.002941501953918735, 0.004826141026764337, -0.0006953533154181187, 1731624629709496868, 
-0.0026587253060164073, 0.003301485023136467, -0.0005856645604522787, 1731624629809531143, 
-0.002428175591014714, 0.0017110878763467359, -0.000561999474120227, 1731624629919501081, 
-0.002196624150707205, 0.0015403371843640083, -0.000509764942360505, 1731624630019497446, 
-0.0020471226265890152, 0.0012701765480856626, -0.0004226098575850289, 1731624630109525710, 
-0.002000459179034131, 0.0006538832389102467, -0.0003959655952562582, 1731624630209737293, 
-0.0019356157292027554, 0.0003716896579541995, -0.0004188274293227291, 1731624630319527516, 
-0.00184784405343974, 0.0005087170853146361, -0.00040447036492126945, 1731624630419527766, 
-0.0018007880530288567, 0.0004494255872463289, -0.0003536480774946395, 1731624630509516260, 
-0.0018558700507500525, -2.675332436770835e-05, -0.00034967413438989685, 1731624630610103112, 
-0.0012291171517420096, 0.001905569670956157, -0.0003420114744049662, 1731624630719520685, 
-0.0005863935867655989, 0.004231588213281512, -0.00025623982335040913, 1731624630819484681, 
-0.0003566470412970091, 0.002908233701483335, -0.00013755725446368578, 1731624630909503092, 
-0.0002844833926816115, 0.0010063673136132916, -7.800940193319538e-05, 1731624631010135293, 
-0.00027846035590650686, 0.0002606222846350074, -6.444420527433362e-05, 1731624631119740752, 
